TEAM_REF,HOME_BASE,NETWORK_ZONE,DISTANCE_TO_NODE,ASSIGNMENT_NOTE,TRACK,AI_INTENSITY,INNOVATION_SCORE,SPRING_NOTE,PITCH_TRACK,ELIGIBILITY_SCORE,SERVER_CREDITS,PANEL_NOTE
SC017,Mesa Court West,Dorm uplink A,0.28 km | fiber hop,Housing export preserved the original backbone routing label.,Creator Tools,~52.3 model hrs,54.8 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Creator Tools,78.3 points,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC018,Middle Earth Towers,Residential switch B,355 meters (sync route),Administrative placement log was finalized before spring showcase scoring.,Mobility,72.1 builder hours,75.3 score,Archive note says a hackathon week may have inflated some compute logs.,Mobility,Score: 91.9 pts,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.
SC019,Campus Village,Student village relay,584 m,Distance field kept the archive unit exactly as shown in the facilities pull.,Campus Commerce,64.0 gpu-hrs/wk,54.4 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Campus Commerce,75.4 / 100,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC020,Plaza Verde,ACC uplink east,0.88 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.,Creator Tools,~45.5 model hrs,57.9 score,Innovation review kept the original mixed score formatting from the incubator export.,Creator Tools,Pitch rating = 82.8,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC021,Arroyo Vista,Greek village relay,~0.89km,Housing export preserved the original backbone routing label.,Mobility,61.6 builder hours,72.9 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Mobility,91.3 score,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.
SC022,Verano Place,Graduate housing switch,"Distance: 1,094 meters",Administrative placement log was finalized before spring showcase scoring.,Campus Commerce,42.3 gpu-hrs/wk,57.0 score,Archive note says a hackathon week may have inflated some compute logs.,Campus Commerce,panel avg 83.5,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC023,Stanford Court,UTC west relay,1.26 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.,Creator Tools,~39.6 model hrs,52.8 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Creator Tools,78.8 points,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC024,Berkeley Court,UTC south relay,"1,484 meters (sync route)",Student hub was matched to the nearest sync cabinet used by the incubator.,Mobility,43.8 builder hours,69.0 score,Innovation review kept the original mixed score formatting from the incubator export.,Mobility,Score: 85.6 pts,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC025,Mesa Court West,Dorm uplink A,289 m,Housing export preserved the original backbone routing label.,Campus Commerce,67.0 gpu-hrs/wk,72.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Campus Commerce,87.0 / 100,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.
SC026,Middle Earth Towers,Residential switch B,0.42 km from backbone,Administrative placement log was finalized before spring showcase scoring.,Creator Tools,~64.9 model hrs,58.1 score,Archive note says a hackathon week may have inflated some compute logs.,Creator Tools,Pitch rating = 79.1,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC027,Campus Village,Student village relay,~0.59km,Distance field kept the archive unit exactly as shown in the facilities pull.,Mobility,54.0 builder hours,56.0 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Mobility,79.1 score,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC028,Plaza Verde,ACC uplink east,Distance: 710 meters,Student hub was matched to the nearest sync cabinet used by the incubator.,Campus Commerce,48.3 gpu-hrs/wk,59.2 score,Innovation review kept the original mixed score formatting from the incubator export.,Campus Commerce,panel avg 84.8,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC029,Arroyo Vista,Greek village relay,0.84 km | fiber hop,Housing export preserved the original backbone routing label.,Creator Tools,~36.8 model hrs,57.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Creator Tools,83.8 points,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC030,Verano Place,Graduate housing switch,952 meters (sync route),Administrative placement log was finalized before spring showcase scoring.,Mobility,49.8 builder hours,53.3 score,Archive note says a hackathon week may have inflated some compute logs.,Mobility,Score: 77.3 pts,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC031,Stanford Court,UTC west relay,"1,185 m",Distance field kept the archive unit exactly as shown in the facilities pull.,Campus Commerce,48.6 gpu-hrs/wk,50.8 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Campus Commerce,75.1 / 100,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC032,Berkeley Court,UTC south relay,1.45 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.,Creator Tools,~49.7 model hrs,69.0 score,Innovation review kept the original mixed score formatting from the incubator export.,Creator Tools,Pitch rating = 87.4,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC033,Mesa Court West,Dorm uplink A,~0.31km,Housing export preserved the original backbone routing label.,Mobility,54.6 builder hours,73.8 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Mobility,94.8 score,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.
SC034,Middle Earth Towers,Residential switch B,Distance: 482 meters,Administrative placement log was finalized before spring showcase scoring.,Campus Commerce,66.2 gpu-hrs/wk,77.5 score,Archive note says a hackathon week may have inflated some compute logs.,Campus Commerce,panel avg 96.4,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.
SC035,Campus Village,Student village relay,0.55 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.,Creator Tools,~59.4 model hrs,72.3 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Creator Tools,91.2 points,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC036,Plaza Verde,ACC uplink east,780 meters (sync route),Student hub was matched to the nearest sync cabinet used by the incubator.,Mobility,46.2 builder hours,51.8 score,Innovation review kept the original mixed score formatting from the incubator export.,Mobility,Score: 76.6 pts,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC037,Arroyo Vista,Greek village relay,859 m,Housing export preserved the original backbone routing label.,Campus Commerce,38.5 gpu-hrs/wk,57.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Campus Commerce,80.1 / 100,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC038,Verano Place,Graduate housing switch,1.03 km from backbone,Administrative placement log was finalized before spring showcase scoring.,Creator Tools,~44.9 model hrs,53.6 score,Archive note says a hackathon week may have inflated some compute logs.,Creator Tools,Pitch rating = 78.7,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC039,Stanford Court,UTC west relay,~1.23km,Distance field kept the archive unit exactly as shown in the facilities pull.,Mobility,40.5 builder hours,57.0 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Mobility,83.5 score,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC040,Berkeley Court,UTC south relay,"Distance: 1,463 meters",Student hub was matched to the nearest sync cabinet used by the incubator.,Campus Commerce,41.1 gpu-hrs/wk,70.1 score,Innovation review kept the original mixed score formatting from the incubator export.,Campus Commerce,panel avg 91.6,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC041,Mesa Court West,Dorm uplink A,0.23 km | fiber hop,Housing export preserved the original backbone routing label.,Creator Tools,~55.7 model hrs,61.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Creator Tools,82.4 points,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC042,Middle Earth Towers,Residential switch B,386 meters (sync route),Administrative placement log was finalized before spring showcase scoring.,Mobility,142.7 builder hours,51.7 score,Archive note says a hackathon week may have inflated some compute logs.,Mobility,Score: 72.7 pts,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC043,Campus Village,Student village relay,534 m,Distance field kept the archive unit exactly as shown in the facilities pull.,Campus Commerce,60.5 gpu-hrs/wk,73.0 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Campus Commerce,91.8 / 100,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC044,Plaza Verde,ACC uplink east,0.87 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.,Creator Tools,~54.7 model hrs,70.6 score,Innovation review kept the original mixed score formatting from the incubator export.,Creator Tools,Pitch rating = 86.2,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC045,Arroyo Vista,Greek village relay,~0.76km,Housing export preserved the original backbone routing label.,Mobility,51.0 builder hours,58.8 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Mobility,84.6 score,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC046,Verano Place,Graduate housing switch,"Distance: 1,029 meters",Administrative placement log was finalized before spring showcase scoring.,Campus Commerce,35.0 gpu-hrs/wk,48.2 score,Archive note says a hackathon week may have inflated some compute logs.,Campus Commerce,panel avg 74.2,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC047,Stanford Court,UTC west relay,1.22 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.,Creator Tools,~26.3 model hrs,52.2 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Creator Tools,78.2 points,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC048,Berkeley Court,UTC south relay,"1,311 meters (sync route)",Student hub was matched to the nearest sync cabinet used by the incubator.,Mobility,40.9 builder hours,57.0 score,Innovation review kept the original mixed score formatting from the incubator export.,Mobility,Score: 84.2 pts,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC049,Mesa Court West,Dorm uplink A,226 m,Housing export preserved the original backbone routing label.,Campus Commerce,61.6 gpu-hrs/wk,69.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Campus Commerce,86.9 / 100,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.
SC050,Middle Earth Towers,Residential switch B,0.37 km from backbone,Administrative placement log was finalized before spring showcase scoring.,Creator Tools,~64.4 model hrs,60.8 score,Archive note says a hackathon week may have inflated some compute logs.,Creator Tools,Pitch rating = 83.2,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC051,Campus Village,Student village relay,~0.60km,Distance field kept the archive unit exactly as shown in the facilities pull.,Mobility,55.2 builder hours,69.7 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Mobility,88.7 score,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC052,Plaza Verde,ACC uplink east,Distance: 859 meters,Student hub was matched to the nearest sync cabinet used by the incubator.,Campus Commerce,45.8 gpu-hrs/wk,52.4 score,Innovation review kept the original mixed score formatting from the incubator export.,Campus Commerce,panel avg 77.3,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC053,Arroyo Vista,Greek village relay,0.92 km | fiber hop,Housing export preserved the original backbone routing label.,Creator Tools,~48.5 model hrs,69.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Creator Tools,88.1 points,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.
SC054,Verano Place,Graduate housing switch,"1,037 meters (sync route)",Administrative placement log was finalized before spring showcase scoring.,Mobility,53.4 builder hours,70.5 score,Archive note says a hackathon week may have inflated some compute logs.,Mobility,Score: 87.3 pts,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.
SC055,Stanford Court,UTC west relay,"1,211 m",Distance field kept the archive unit exactly as shown in the facilities pull.,Campus Commerce,58.7 gpu-hrs/wk,72.0 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Campus Commerce,86.0 / 100,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC056,Berkeley Court,UTC south relay,1.36 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.,Creator Tools,~47.0 model hrs,69.0 score,Innovation review kept the original mixed score formatting from the incubator export.,Creator Tools,Pitch rating = 88.3,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC057,Mesa Court West,Dorm uplink A,~0.22km,Housing export preserved the original backbone routing label.,Mobility,60.9 builder hours,60.1 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Mobility,82.3 score,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC058,Middle Earth Towers,Residential switch B,Distance: 374 meters,Administrative placement log was finalized before spring showcase scoring.,Campus Commerce,44.4 gpu-hrs/wk,57.5 score,Archive note says a hackathon week may have inflated some compute logs.,Campus Commerce,panel avg 84.3,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC059,Campus Village,Student village relay,0.61 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.,Creator Tools,~59.5 model hrs,70.0 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Creator Tools,86.5 points,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC060,Plaza Verde,ACC uplink east,861 meters (sync route),Student hub was matched to the nearest sync cabinet used by the incubator.,Mobility,53.7 builder hours,69.7 score,Innovation review kept the original mixed score formatting from the incubator export.,Mobility,Score: 87.9 pts,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC061,Arroyo Vista,Greek village relay,872 m,Housing export preserved the original backbone routing label.,Campus Commerce,56.7 gpu-hrs/wk,61.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Campus Commerce,81.7 / 100,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC062,Verano Place,Graduate housing switch,0.98 km from backbone,Administrative placement log was finalized before spring showcase scoring.,Creator Tools,~43.9 model hrs,69.0 score,Archive note says a hackathon week may have inflated some compute logs.,Creator Tools,Pitch rating = 88.3,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.
SC063,Stanford Court,UTC west relay,~1.17km,Distance field kept the archive unit exactly as shown in the facilities pull.,Mobility,41.7 builder hours,69.0 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Mobility,87.3 score,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC064,Berkeley Court,UTC south relay,"Distance: 1,485 meters",Student hub was matched to the nearest sync cabinet used by the incubator.,Campus Commerce,49.9 gpu-hrs/wk,71.6 score,Innovation review kept the original mixed score formatting from the incubator export.,Campus Commerce,panel avg 93.2,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC065,Mesa Court West,Dorm uplink A,0.15 km | fiber hop,Housing export preserved the original backbone routing label.,Creator Tools,~56.3 model hrs,57.9 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Creator Tools,81.2 points,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC066,Middle Earth Towers,Residential switch B,345 meters (sync route),Administrative placement log was finalized before spring showcase scoring.,Mobility,69.0 builder hours,77.5 score,Archive note says a hackathon week may have inflated some compute logs.,Mobility,Score: 95.6 pts,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.
SC067,Campus Village,Student village relay,629 m,Distance field kept the archive unit exactly as shown in the facilities pull.,Campus Commerce,55.1 gpu-hrs/wk,59.1 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Campus Commerce,82.2 / 100,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC068,Plaza Verde,ACC uplink east,0.71 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.,Creator Tools,~57.1 model hrs,72.7 score,Innovation review kept the original mixed score formatting from the incubator export.,Creator Tools,Pitch rating = 92.4,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC069,Arroyo Vista,Greek village relay,~0.76km,Housing export preserved the original backbone routing label.,Mobility,41.7 builder hours,57.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Mobility,84.8 score,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC070,Verano Place,Graduate housing switch,Distance: 947 meters,Administrative placement log was finalized before spring showcase scoring.,Campus Commerce,50.8 gpu-hrs/wk,61.0 score,Archive note says a hackathon week may have inflated some compute logs.,Campus Commerce,panel avg 84.7,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC071,Stanford Court,UTC west relay,1.20 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.,Creator Tools,~32.5 model hrs,57.0 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Creator Tools,80.0 points,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC072,Berkeley Court,UTC south relay,"1,468 meters (sync route)",Student hub was matched to the nearest sync cabinet used by the incubator.,Mobility,37.9 builder hours,69.0 score,Innovation review kept the original mixed score formatting from the incubator export.,Mobility,Score: 86.3 pts,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
