TEAM_REF,HOME_BASE,NETWORK_ZONE,DISTANCE_TO_NODE,ASSIGNMENT_NOTE,TRACK,AI_INTENSITY,INNOVATION_SCORE,SPRING_NOTE,PITCH_TRACK,ELIGIBILITY_SCORE,SERVER_CREDITS,PANEL_NOTE,DISTANCE_M,ABOVE_CUTOFF,SCORE_CENTERED
SC011,Campus Village,Student village relay,0.66 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.,Creator Tools,50.2,54.4,Metrics were pulled after demo day QA and were not unit-normalized.,Creator Tools,78.4,Waitlist / mentor hours,The export kept the committee's original note style and award labels.,660.0,0,-6.599999999999994
SC012,Plaza Verde,ACC uplink east,718 meters (sync route),Student hub was matched to the nearest sync cabinet used by the incubator.,Mobility,55.1,61.0,Innovation review kept the original mixed score formatting from the incubator export.,Mobility,82.4,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,718.0,0,-2.5999999999999943
SC013,Arroyo Vista,Greek village relay,873 m,Housing export preserved the original backbone routing label.,Campus Commerce,42.8,57.0,Usage load reflects model prototyping during the winter and spring build cycle.,Campus Commerce,81.9,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,873.0,0,-3.0999999999999943
SC014,Verano Place,Graduate housing switch,1.07 km from backbone,Administrative placement log was finalized before spring showcase scoring.,Creator Tools,44.3,53.0,Archive note says a hackathon week may have inflated some compute logs.,Creator Tools,78.3,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,1070.0,0,-6.700000000000003
SC015,Stanford Court,UTC west relay,~1.13km,Distance field kept the archive unit exactly as shown in the facilities pull.,Mobility,45.6,69.0,Metrics were pulled after demo day QA and were not unit-normalized.,Mobility,87.3,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.,1130.0,1,2.299999999999997
SC016,Berkeley Court,UTC south relay,"Distance: 1,454 meters",Student hub was matched to the nearest sync cabinet used by the incubator.,Campus Commerce,34.1,51.8,Innovation review kept the original mixed score formatting from the incubator export.,Campus Commerce,77.8,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,1454.0,0,-7.200000000000003
SC017,Mesa Court West,Dorm uplink A,0.28 km | fiber hop,Housing export preserved the original backbone routing label.,Creator Tools,52.3,54.8,Usage load reflects model prototyping during the winter and spring build cycle.,Creator Tools,78.3,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,280.0,0,-6.700000000000003
SC018,Middle Earth Towers,Residential switch B,355 meters (sync route),Administrative placement log was finalized before spring showcase scoring.,Mobility,72.1,75.3,Archive note says a hackathon week may have inflated some compute logs.,Mobility,91.9,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.,355.0,1,6.900000000000006
SC019,Campus Village,Student village relay,584 m,Distance field kept the archive unit exactly as shown in the facilities pull.,Campus Commerce,64.0,54.4,Metrics were pulled after demo day QA and were not unit-normalized.,Campus Commerce,75.4,Waitlist / mentor hours,The export kept the committee's original note style and award labels.,584.0,0,-9.599999999999994
SC020,Plaza Verde,ACC uplink east,0.88 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.,Creator Tools,45.5,57.9,Innovation review kept the original mixed score formatting from the incubator export.,Creator Tools,82.8,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,880.0,0,-2.200000000000003
SC021,Arroyo Vista,Greek village relay,~0.89km,Housing export preserved the original backbone routing label.,Mobility,61.6,72.9,Usage load reflects model prototyping during the winter and spring build cycle.,Mobility,91.3,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.,890.0,1,6.299999999999997
SC022,Verano Place,Graduate housing switch,"Distance: 1,094 meters",Administrative placement log was finalized before spring showcase scoring.,Campus Commerce,42.3,57.0,Archive note says a hackathon week may have inflated some compute logs.,Campus Commerce,83.5,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,1094.0,0,-1.5
SC023,Stanford Court,UTC west relay,1.26 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.,Creator Tools,39.6,52.8,Metrics were pulled after demo day QA and were not unit-normalized.,Creator Tools,78.8,Waitlist / mentor hours,The export kept the committee's original note style and award labels.,1260.0,0,-6.200000000000003
SC024,Berkeley Court,UTC south relay,"1,484 meters (sync route)",Student hub was matched to the nearest sync cabinet used by the incubator.,Mobility,43.8,69.0,Innovation review kept the original mixed score formatting from the incubator export.,Mobility,85.6,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,1484.0,1,0.5999999999999943
SC025,Mesa Court West,Dorm uplink A,289 m,Housing export preserved the original backbone routing label.,Campus Commerce,67.0,72.0,Usage load reflects model prototyping during the winter and spring build cycle.,Campus Commerce,87.0,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.,289.0,1,2.0
SC026,Middle Earth Towers,Residential switch B,0.42 km from backbone,Administrative placement log was finalized before spring showcase scoring.,Creator Tools,64.9,58.1,Archive note says a hackathon week may have inflated some compute logs.,Creator Tools,79.1,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,420.0,0,-5.900000000000006
SC027,Campus Village,Student village relay,~0.59km,Distance field kept the archive unit exactly as shown in the facilities pull.,Mobility,54.0,56.0,Metrics were pulled after demo day QA and were not unit-normalized.,Mobility,79.1,Waitlist / mentor hours,The export kept the committee's original note style and award labels.,590.0,0,-5.900000000000006
SC028,Plaza Verde,ACC uplink east,Distance: 710 meters,Student hub was matched to the nearest sync cabinet used by the incubator.,Campus Commerce,48.3,59.2,Innovation review kept the original mixed score formatting from the incubator export.,Campus Commerce,84.8,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,710.0,0,-0.20000000000000284
SC029,Arroyo Vista,Greek village relay,0.84 km | fiber hop,Housing export preserved the original backbone routing label.,Creator Tools,36.8,57.0,Usage load reflects model prototyping during the winter and spring build cycle.,Creator Tools,83.8,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,840.0,0,-1.2000000000000028
SC030,Verano Place,Graduate housing switch,952 meters (sync route),Administrative placement log was finalized before spring showcase scoring.,Mobility,49.8,53.3,Archive note says a hackathon week may have inflated some compute logs.,Mobility,77.3,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,952.0,0,-7.700000000000003
SC031,Stanford Court,UTC west relay,"1,185 m",Distance field kept the archive unit exactly as shown in the facilities pull.,Campus Commerce,48.6,50.8,Metrics were pulled after demo day QA and were not unit-normalized.,Campus Commerce,75.1,Waitlist / mentor hours,The export kept the committee's original note style and award labels.,1185.0,0,-9.900000000000006
SC032,Berkeley Court,UTC south relay,1.45 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.,Creator Tools,49.7,69.0,Innovation review kept the original mixed score formatting from the incubator export.,Creator Tools,87.4,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,1450.0,1,2.4000000000000057
SC033,Mesa Court West,Dorm uplink A,~0.31km,Housing export preserved the original backbone routing label.,Mobility,54.6,73.8,Usage load reflects model prototyping during the winter and spring build cycle.,Mobility,94.8,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.,310.0,1,9.799999999999997
SC034,Middle Earth Towers,Residential switch B,Distance: 482 meters,Administrative placement log was finalized before spring showcase scoring.,Campus Commerce,66.2,77.5,Archive note says a hackathon week may have inflated some compute logs.,Campus Commerce,96.4,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.,482.0,1,11.400000000000006
SC035,Campus Village,Student village relay,0.55 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.,Creator Tools,59.4,72.3,Metrics were pulled after demo day QA and were not unit-normalized.,Creator Tools,91.2,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.,550.0,1,6.200000000000003
SC036,Plaza Verde,ACC uplink east,780 meters (sync route),Student hub was matched to the nearest sync cabinet used by the incubator.,Mobility,46.2,51.8,Innovation review kept the original mixed score formatting from the incubator export.,Mobility,76.6,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,780.0,0,-8.400000000000006
SC037,Arroyo Vista,Greek village relay,859 m,Housing export preserved the original backbone routing label.,Campus Commerce,38.5,57.0,Usage load reflects model prototyping during the winter and spring build cycle.,Campus Commerce,80.1,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,859.0,0,-4.900000000000006
SC038,Verano Place,Graduate housing switch,1.03 km from backbone,Administrative placement log was finalized before spring showcase scoring.,Creator Tools,44.9,53.6,Archive note says a hackathon week may have inflated some compute logs.,Creator Tools,78.7,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,1030.0,0,-6.299999999999997
SC039,Stanford Court,UTC west relay,~1.23km,Distance field kept the archive unit exactly as shown in the facilities pull.,Mobility,40.5,57.0,Metrics were pulled after demo day QA and were not unit-normalized.,Mobility,83.5,Waitlist / mentor hours,The export kept the committee's original note style and award labels.,1230.0,0,-1.5
SC040,Berkeley Court,UTC south relay,"Distance: 1,463 meters",Student hub was matched to the nearest sync cabinet used by the incubator.,Campus Commerce,41.1,70.1,Innovation review kept the original mixed score formatting from the incubator export.,Campus Commerce,91.6,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,1463.0,1,6.599999999999994
SC041,Mesa Court West,Dorm uplink A,0.23 km | fiber hop,Housing export preserved the original backbone routing label.,Creator Tools,55.7,61.0,Usage load reflects model prototyping during the winter and spring build cycle.,Creator Tools,82.4,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,230.0,0,-2.5999999999999943
SC042,Middle Earth Towers,Residential switch B,386 meters (sync route),Administrative placement log was finalized before spring showcase scoring.,Mobility,82.0,51.7,Archive note says a hackathon week may have inflated some compute logs.,Mobility,72.7,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,386.0,0,-12.299999999999997
SC043,Campus Village,Student village relay,534 m,Distance field kept the archive unit exactly as shown in the facilities pull.,Campus Commerce,60.5,73.0,Metrics were pulled after demo day QA and were not unit-normalized.,Campus Commerce,91.8,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.,534.0,1,6.799999999999997
SC044,Plaza Verde,ACC uplink east,0.87 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.,Creator Tools,54.7,70.6,Innovation review kept the original mixed score formatting from the incubator export.,Creator Tools,86.2,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,870.0,1,1.2000000000000028
SC045,Arroyo Vista,Greek village relay,~0.76km,Housing export preserved the original backbone routing label.,Mobility,51.0,58.8,Usage load reflects model prototyping during the winter and spring build cycle.,Mobility,84.6,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,760.0,0,-0.4000000000000057
SC046,Verano Place,Graduate housing switch,"Distance: 1,029 meters",Administrative placement log was finalized before spring showcase scoring.,Campus Commerce,35.0,48.2,Archive note says a hackathon week may have inflated some compute logs.,Campus Commerce,74.2,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,1029.0,0,-10.799999999999997
SC047,Stanford Court,UTC west relay,1.22 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.,Creator Tools,26.3,52.2,Metrics were pulled after demo day QA and were not unit-normalized.,Creator Tools,78.2,Waitlist / mentor hours,The export kept the committee's original note style and award labels.,1220.0,0,-6.799999999999997
SC048,Berkeley Court,UTC south relay,"1,311 meters (sync route)",Student hub was matched to the nearest sync cabinet used by the incubator.,Mobility,40.9,57.0,Innovation review kept the original mixed score formatting from the incubator export.,Mobility,84.2,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,1311.0,0,-0.7999999999999972
SC049,Mesa Court West,Dorm uplink A,226 m,Housing export preserved the original backbone routing label.,Campus Commerce,61.6,69.0,Usage load reflects model prototyping during the winter and spring build cycle.,Campus Commerce,86.9,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.,226.0,1,1.9000000000000057
SC050,Middle Earth Towers,Residential switch B,0.37 km from backbone,Administrative placement log was finalized before spring showcase scoring.,Creator Tools,64.4,60.8,Archive note says a hackathon week may have inflated some compute logs.,Creator Tools,83.2,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,370.0,0,-1.7999999999999972
SC051,Campus Village,Student village relay,~0.60km,Distance field kept the archive unit exactly as shown in the facilities pull.,Mobility,55.2,69.7,Metrics were pulled after demo day QA and were not unit-normalized.,Mobility,88.7,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.,600.0,1,3.700000000000003
SC052,Plaza Verde,ACC uplink east,Distance: 859 meters,Student hub was matched to the nearest sync cabinet used by the incubator.,Campus Commerce,45.8,52.4,Innovation review kept the original mixed score formatting from the incubator export.,Campus Commerce,77.3,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,859.0,0,-7.700000000000003
SC053,Arroyo Vista,Greek village relay,0.92 km | fiber hop,Housing export preserved the original backbone routing label.,Creator Tools,48.5,69.0,Usage load reflects model prototyping during the winter and spring build cycle.,Creator Tools,88.1,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.,920.0,1,3.0999999999999943
SC054,Verano Place,Graduate housing switch,"1,037 meters (sync route)",Administrative placement log was finalized before spring showcase scoring.,Mobility,53.4,70.5,Archive note says a hackathon week may have inflated some compute logs.,Mobility,87.3,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.,1037.0,1,2.299999999999997
SC055,Stanford Court,UTC west relay,"1,211 m",Distance field kept the archive unit exactly as shown in the facilities pull.,Campus Commerce,58.7,72.0,Metrics were pulled after demo day QA and were not unit-normalized.,Campus Commerce,86.0,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.,1211.0,1,1.0
SC056,Berkeley Court,UTC south relay,1.36 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.,Creator Tools,47.0,69.0,Innovation review kept the original mixed score formatting from the incubator export.,Creator Tools,88.3,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,1360.0,1,3.299999999999997
SC057,Mesa Court West,Dorm uplink A,~0.22km,Housing export preserved the original backbone routing label.,Mobility,60.9,60.1,Usage load reflects model prototyping during the winter and spring build cycle.,Mobility,82.3,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,220.0,0,-2.700000000000003
SC058,Middle Earth Towers,Residential switch B,Distance: 374 meters,Administrative placement log was finalized before spring showcase scoring.,Campus Commerce,44.4,57.5,Archive note says a hackathon week may have inflated some compute logs.,Campus Commerce,84.3,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,374.0,0,-0.7000000000000028
SC059,Campus Village,Student village relay,0.61 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.,Creator Tools,59.5,70.0,Metrics were pulled after demo day QA and were not unit-normalized.,Creator Tools,86.5,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.,610.0,1,1.5
SC060,Plaza Verde,ACC uplink east,861 meters (sync route),Student hub was matched to the nearest sync cabinet used by the incubator.,Mobility,53.7,69.7,Innovation review kept the original mixed score formatting from the incubator export.,Mobility,87.9,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,861.0,1,2.9000000000000057
SC061,Arroyo Vista,Greek village relay,872 m,Housing export preserved the original backbone routing label.,Campus Commerce,56.7,61.0,Usage load reflects model prototyping during the winter and spring build cycle.,Campus Commerce,81.7,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,872.0,0,-3.299999999999997
SC062,Verano Place,Graduate housing switch,0.98 km from backbone,Administrative placement log was finalized before spring showcase scoring.,Creator Tools,43.9,69.0,Archive note says a hackathon week may have inflated some compute logs.,Creator Tools,88.3,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.,980.0,1,3.299999999999997
SC063,Stanford Court,UTC west relay,~1.17km,Distance field kept the archive unit exactly as shown in the facilities pull.,Mobility,41.7,69.0,Metrics were pulled after demo day QA and were not unit-normalized.,Mobility,87.3,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.,1170.0,1,2.299999999999997
SC064,Berkeley Court,UTC south relay,"Distance: 1,485 meters",Student hub was matched to the nearest sync cabinet used by the incubator.,Campus Commerce,49.9,71.6,Innovation review kept the original mixed score formatting from the incubator export.,Campus Commerce,93.2,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,1485.0,1,8.200000000000003
SC065,Mesa Court West,Dorm uplink A,0.15 km | fiber hop,Housing export preserved the original backbone routing label.,Creator Tools,56.3,57.9,Usage load reflects model prototyping during the winter and spring build cycle.,Creator Tools,81.2,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,150.0,0,-3.799999999999997
SC066,Middle Earth Towers,Residential switch B,345 meters (sync route),Administrative placement log was finalized before spring showcase scoring.,Mobility,69.0,77.5,Archive note says a hackathon week may have inflated some compute logs.,Mobility,95.6,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.,345.0,1,10.599999999999994
SC067,Campus Village,Student village relay,629 m,Distance field kept the archive unit exactly as shown in the facilities pull.,Campus Commerce,55.1,59.1,Metrics were pulled after demo day QA and were not unit-normalized.,Campus Commerce,82.2,Waitlist / mentor hours,The export kept the committee's original note style and award labels.,629.0,0,-2.799999999999997
SC068,Plaza Verde,ACC uplink east,0.71 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.,Creator Tools,57.1,72.7,Innovation review kept the original mixed score formatting from the incubator export.,Creator Tools,92.4,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,710.0,1,7.400000000000006
SC069,Arroyo Vista,Greek village relay,~0.76km,Housing export preserved the original backbone routing label.,Mobility,41.7,57.0,Usage load reflects model prototyping during the winter and spring build cycle.,Mobility,84.8,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,760.0,0,-0.20000000000000284
SC070,Verano Place,Graduate housing switch,Distance: 947 meters,Administrative placement log was finalized before spring showcase scoring.,Campus Commerce,50.8,61.0,Archive note says a hackathon week may have inflated some compute logs.,Campus Commerce,84.7,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,947.0,0,-0.29999999999999716
SC071,Stanford Court,UTC west relay,1.20 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.,Creator Tools,32.5,57.0,Metrics were pulled after demo day QA and were not unit-normalized.,Creator Tools,80.0,Waitlist / mentor hours,The export kept the committee's original note style and award labels.,1200.0,0,-5.0
SC072,Berkeley Court,UTC south relay,"1,468 meters (sync route)",Student hub was matched to the nearest sync cabinet used by the incubator.,Mobility,37.9,69.0,Innovation review kept the original mixed score formatting from the incubator export.,Mobility,86.3,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,1468.0,1,1.2999999999999972
