FIRM,SEGMENT,HQ_REGION,FOUNDED,TEAM_SIZE,ANNUAL_REV,REV_GROWTH,RD_SPEND,AI_STATUS,CLOUD_STACK,DIGITAL_SALES,COMPLIANCE_TIER,FRAUD_EXPOSURE,FUNDING_STAGE,CUSTOMER_ACCTS,AI_ADOPTED
CrestLedger Shield,InsurTech,"San Francisco, CA",2008,203.0,56450000.0,5.7,5798556.0,Manual Only,Cloud forward,79.0,Tier 3,Moderate,Series B,922148.0,0.0
BlueVista Cover,InsurTech,"Austin, TX",2020,221.0,53900000.0,5.9,3360000.0,Legacy Only,Hybrid Stack,67.0,Tier 4,Moderate,Series B,652308.0,0.0
SterlingLine Policy,InsurTech,"San Francisco, CA",2003,204.0,50070000.0,15.2,7410000.0,Live,Cloud-Native,87.0,Tier 3,Elevated,Series B,715540.0,1.0
CrestPath Shield,InsurTech,"New York, NY",2009,248.0,49730000.0,5.6,4280000.0,Legacy Only,Cloud forward,65.0,Tier 4,Moderate,Series B,1039484.0,0.0
FrontierWave Sure,InsurTech,"Seattle, WA",2023,90.0,39910000.0,20.3,7300000.0,YES,Cloud native,98.0,Tier 2,Moderate,Series B,384400.0,1.0
VertexRiver Risk,InsurTech,"Austin, TX",2006,171.0,37750000.0,12.1,4800000.0,Yes,Cloud forward,76.0,Tier 3,Moderate,Series B,1275862.0,1.0
VertexRiver Policy,InsurTech,"Atlanta, GA",2009,103.0,26880000.0,6.3,2080000.0,Legacy Only,Cloud-Forward,68.0,Tier 4,Moderate,Series B,142237.0,0.0
SignalRiver Advance,Lending,"Miami, FL",2001,2000.0,454210000.0,14.3,49480000.0,AI Enabled,Cloud-Forward,78.0,Tier 3,Elevated,Late Stage,1028126.0,1.0
DeltaSignal Advance,Lending,"Miami, FL",2022,887.0,419780000.0,10.8,43960000.0,Manual Only,Cloud native,89.0,Tier 3,High,Late Stage,550941.0,0.0
AtlasMint Funding,Lending,"San Francisco, CA",2001,1200.0,339970000.0,15.7,47600000.0,Adopted,Cloud forward,87.0,Tier 4,High,Late Stage,1070000.0,1.0
BlueFoundry Funding,Lending,"Boston, MA",2021,642.0,188900000.0,5.6,13550000.0,No,Hybrid Stack,65.0,Tier 3,Elevated,Late Stage,1030000.0,0.0
GraniteGrid Capital,Lending,"Charlotte, NC",1998,788.0,178710000.0,16.9,,AI Enabled,Cloud-Native,79.0,Tier 3,Elevated,Series C,704395.0,1.0
CedarVista Lend,Lending,"New York, NY",2004,488.0,173640000.0,10.6,15106679.999999998,Pilot,Cloud forward,80.0,Tier 3,Elevated,Series C,778306.0,1.0
CrestAnchor Lend,Lending,"New York, NY",2003,436.0,153581663.0,9.7,14530000.0,Production,Cloud-Forward,76.0,Tier 2,Moderate,Series C,346140.0,1.0
PrimeSummit Capital,Lending,"Atlanta, GA",1999,502.0,149100000.0,13.9,17900000.0,Legacy Only,Cloud-Native,81.0,Tier 3,High,Series C,1129518.0,0.0
CobaltVista Lend,Lending,"Miami, FL",2008,564.0,138400000.0,9.1,16200000.0,Not Yet,Cloud forward,78.0,Tier 2,Moderate,Series C,1208863.0,0.0
QuantumSummit Funding,Lending,"New York, NY",2014,460.0,128210000.00000001,9.4,14200000.0,AI Enabled,Hybrid,62.0,Tier 4,Elevated,Series C,253780.0,1.0
DeltaLedger Advance,Lending,"San Francisco, CA",1998,331.0,123030000.0,4.2,13700000.0,Manual Only,Cloud-Forward,59.0,Tier 4,Elevated,Series C,2160300.0,0.0
SummitMint Funding,Lending,"Charlotte, NC",2014,411.0,120110000.0,10.1,,Legacy Only,Cloud forward,65.0,Tier 3,Elevated,Series C,595158.0,0.0
SterlingGrid Advance,Lending,"Atlanta, GA",2000,284.0,116030000.0,15.1,16810000.0,Production,Cloud-Native,77.0,Tier 3,Elevated,Series C,2616200.0,1.0
AtlasWave Funding,Lending,"Austin, TX",2021,681.0,115030000.0,8.5,13860000.0,Legacy Only,Cloud forward,73.0,Tier 3,Elevated,Series C,72261.0,0.0
BeaconLine Credit,Lending,"San Francisco, CA",2004,248.0,110050000.0,8.8,12080000.0,Not Yet,Cloud forward,74.0,Tier 3,Elevated,Series C,1247090.0,0.0
GraniteField Funding,Lending,"Seattle, WA",2016,380.0,99000000.0,11.7,,YES,Cloud-Forward,81.0,Tier 2,Elevated,Series C,4363600.0,1.0
SummitLine Funding,Lending,"Chicago, IL",2018,317.0,96540000.0,14.4,10715940.0,Yes,Hybrid,61.0,Tier 3,Elevated,Series C,534200.0,1.0
SterlingFoundry Advance,Lending,"New York, NY",2012,256.0,74050000.0,10.8,,Production,Cloud-Forward,70.0,Tier 3,Elevated,Series B,280888.0,1.0
IronStone Advance,Lending,"New York, NY",2013,327.0,68540000.0,15.4,8250000.0,Live,Cloud-Forward,59.0,Tier 3,Elevated,Series B,3519897.0,1.0
VertexLine Credit,Lending,"Seattle, WA",2004,337.0,62410000.0,7.0,7100000.0,Legacy Only,Hybrid Stack,53.0,Tier 4,Elevated,Series B,635127.0,0.0
FrontierHarbor Capital,Lending,"New York, NY",2004,168.0,56350000.0,6.7,4800000.0,Pilot,Cloud forward,62.0,Tier 3,Elevated,Series B,392310.0,1.0
OakPath Capital,Lending,"Seattle, WA",2011,161.0,48220000.0,7.4,3730000.0,Not Yet,Cloud-Forward,76.0,Tier 3,Elevated,Series B,1812160.0,0.0
SummitPulse Capital,Lending,"Austin, TX",2012,153.0,46400000.0,12.2,6701201.0,No,Cloud forward,72.0,Tier 3,Elevated,Series B,780028.0,0.0
DeltaFoundry Advance,Lending,"San Francisco, CA",2020,143.0,44230000.0,5.1,3900000.0,Manual Only,Cloud-Forward,65.0,Tier 3,Elevated,Series B,1460000.0,0.0
PrimeCircuit Credit,Lending,"Austin, TX",2001,95.0,22160000.0,6.1,2170000.0,Not Yet,Hybrid Stack,54.0,Tier 3,Elevated,Series A,648000.0,0.0
AtlasLedger Pay,Payments,"Miami, FL",2001,969.0,254730000.0,20.0,38040000.0,Yes,Cloud native,98.0,Tier 3,High,Late Stage,5840300.0,1.0
QuantumWave Pay,Payments,"San Francisco, CA",2009,780.0,246100000.0,16.3,32450000.000000004,Yes,Cloud native,87.0,Tier 3,High,Late Stage,3532696.0,1.0
SterlingPeak Pay,Payments,"San Francisco, CA",2022,1098.0,238980000.0,10.3,25110000.0,AI Enabled,Cloud forward,70.0,Tier 3,Elevated,Late Stage,1794200.0,1.0
CedarAnchor Transfer,Payments,"San Francisco, CA",2010,697.0,221930000.0,21.9,32623710.0,Production,Cloud-Native,79.0,Tier 3,Elevated,Late Stage,3243346.0,1.0
CrestGrid Rails,Payments,"Charlotte, NC",2013,521.0,209800000.0,15.7,28840000.0,Production,Cloud native,83.0,Tier 3,High,Late Stage,978625.0,1.0
AtlasLine Gateway,Payments,"Chicago, IL",2019,448.0,170440000.0,15.7,29350000.0,YES,Cloud forward,81.0,Tier 3,High,Series C,6810147.0,1.0
SummitStone Pay,Payments,"Boston, MA",2008,512.0,154900000.0,19.1,24800000.0,Adopted,Cloud native,98.0,Tier 2,Elevated,Series C,1010600.0,1.0
QuantumBridge Checkout,Payments,"New York, NY",2010,375.0,141100000.0,14.4,17355300.0,Production,Cloud-Native,84.0,Tier 3,High,Series C,1222492.0,1.0
BlueVista Transfer,Payments,"San Francisco, CA",2001,579.0,132880000.0,14.9,13553760.0,Live,Cloud-Native,88.0,Tier 3,High,Series C,5751872.0,1.0
SignalHarbor Pay,Payments,"Atlanta, GA",2006,395.0,125364706.0,14.6,15300000.0,Live,Cloud native,95.0,Tier 2,Elevated,Series C,2507067.0,1.0
GraniteStone Transfer,Payments,"New York, NY",2005,563.0,117800000.0,13.8,16500000.0,Yes,Cloud native,90.0,Tier 3,High,Series C,624569.0,1.0
GraniteGrid Transfer,Payments,"Boston, MA",1998,240.0,85650000.0,14.7,12860432.0,Live,Cloud-Forward,88.0,Tier 2,Elevated,Series C,7231563.0,1.0
HarborPath Gateway,Payments,"Seattle, WA",2010,403.0,85398522.0,13.5,,NO,Cloud forward,81.0,Tier 1,Elevated,Series C,1350000.0,0.0
DeltaPulse Rails,Payments,"New York, NY",2012,345.0,70100000.0,9.5,7920000.0,Adopted,Cloud-Forward,95.0,Tier 2,Elevated,Series B,7734000.0,1.0
QuantumSummit Pay,Payments,"Austin, TX",1998,137.0,60620000.0,14.4,,YES,Cloud-Native,91.0,Tier 3,High,Series B,1910638.0,1.0
CrestSummit Checkout,Payments,"San Francisco, CA",2008,242.0,55430000.0,19.1,8830000.0,YES,Cloud-Native,86.0,Tier 2,Elevated,Series B,2190300.0,1.0
HarborRiver Transfer,Payments,"San Francisco, CA",2000,136.0,52150000.0,14.7,,Legacy Only,Cloud-Native,74.0,Tier 2,Moderate,Series B,4474930.0,0.0
AtlasPoint Checkout,Payments,"Austin, TX",2008,161.0,49120675.0,15.6,8800000.0,Live,Cloud native,88.0,Tier 4,High,Series B,1309300.0,1.0
CedarHarbor Checkout,Payments,"San Francisco, CA",2023,177.0,41830000.0,9.1,4924039.0,Adopted,Hybrid Stack,60.0,Tier 3,Elevated,Series B,5481400.0,1.0
QuantumStone Transfer,Payments,"San Francisco, CA",2019,109.0,39430000.0,11.5,5130000.0,No,Cloud-Forward,74.0,Tier 2,Moderate,Series B,6396966.0,0.0
AtlasLine Comply,RegTech,"Boston, MA",2017,595.0,179090000.0,12.4,24984652.0,Adopted,Cloud-Forward,49.0,Tier 4,Moderate,Series C,195300.0,1.0
QuantumCircuit Reg,RegTech,"San Francisco, CA",2001,207.0,76800000.0,6.7,,Legacy Only,Hybrid Stack,52.0,Tier 3,Moderate,Series C,148100.0,0.0
FrontierGrid Comply,RegTech,"Chicago, IL",2009,296.0,62600000.0,12.3,7540000.0,Production,Legacy Core,44.0,Tier 4,Moderate,Series B,75352.0,1.0
SterlingWave Reg,RegTech,"Salt Lake City, UT",2007,196.0,56820000.0,13.6,9829860.0,Production,Cloud-Native,70.0,Tier 4,Moderate,Series B,130289.0,1.0
BeaconBridge Comply,RegTech,"Chicago, IL",2012,181.0,52500000.0,11.6,8455966.0,Manual Only,Cloud forward,74.0,Tier 3,Moderate,Series B,173400.0,0.0
HarborMint Audit,RegTech,"Seattle, WA",2008,230.0,48410000.0,8.9,6970000.0,Manual Only,Hybrid Stack,58.0,Tier 3,Moderate,Series B,110945.0,0.0
AtlasLedger Verify,RegTech,"San Francisco, CA",2008,127.0,40510000.0,6.6,4360000.0,Pilot,Cloud-Forward,59.0,Tier 4,Moderate,Series B,225069.0,1.0
VertexLedger Audit,RegTech,"Atlanta, GA",2007,118.0,39220000.0,12.3,5300000.0,No,Cloud-Native,80.0,Tier 4,Elevated,Series B,152309.0,0.0
OakHarbor Comply,RegTech,"New York, NY",2017,127.0,32799999.999999996,10.3,4620000.0,AI Enabled,Cloud forward,72.0,Tier 3,Moderate,Series B,307851.0,1.0
DeltaCircuit Watch,RegTech,"New York, NY",2013,71.0,30010000.0,10.2,4000000.0,Not Yet,Cloud forward,69.0,Tier 3,Moderate,Series B,706770.0,0.0
AtlasFoundry Hedge,Treasury Tech,"Chicago, IL",2023,309.0,119040000.0,11.9,15840000.0,AI Enabled,Cloud forward,64.0,Tier 4,Moderate,Series C,85487.0,1.0
QuantumAnchor Cash,Treasury Tech,"San Francisco, CA",2008,184.0,86202317.0,10.5,11895919.746000001,Production,Cloud-Native,75.0,Tier 3,Moderate,Series C,54861.0,1.0
CedarBridge Treasury,Treasury Tech,"Boston, MA",2019,286.0,72226328.0,3.0,7680000.0,Pilot,Cloud forward,58.0,Tier 3,Moderate,Series B,19114.0,1.0
SignalSignal Cash,Treasury Tech,"New York, NY",2023,354.0,72150000.0,5.6,8107800.0,Pilot,Legacy,40.0,Tier 3,Moderate,Series B,54855.0,1.0
QuantumHarbor Liquidity,Treasury Tech,"San Francisco, CA",2013,165.0,70820000.0,8.1,,NO,Hybrid Stack,48.0,Tier 3,Moderate,Series B,27300.0,0.0
BeaconHarbor Cash,Treasury Tech,"Seattle, WA",2008,211.0,66400000.00000001,2.7,7110000.0,NO,Hybrid,51.0,Tier 2,Low,Series B,44743.0,0.0
PrimeAnchor Flow,Treasury Tech,"Chicago, IL",2009,193.0,41780000.0,8.0,5222500.0,Pilot,Cloud-Forward,76.0,Tier 3,Moderate,Series B,33990.0,1.0
CobaltLine Cash,Treasury Tech,"Salt Lake City, UT",2015,119.0,40190000.0,9.0,,Pilot,Cloud forward,66.0,Tier 3,Moderate,Series B,42821.0,1.0
PioneerVista Portfolio,WealthTech,"New York, NY",2018,294.0,142640345.0,13.3,20230000.0,Manual Only,Cloud native,91.0,Tier 3,Elevated,Series C,892462.0,0.0
QuantumBridge Vest,WealthTech,"Miami, FL",2000,333.0,88420000.0,16.3,9637780.0,Yes,Cloud native,72.0,Tier 1,Low,Series C,86866.0,1.0
OakGrid Portfolio,WealthTech,"San Francisco, CA",2001,146.0,84300000.0,14.5,11420000.0,Yes,Cloud-Native,78.0,Tier 4,Moderate,Series C,229816.0,1.0
SummitVista Advisors,WealthTech,"Boston, MA",2005,229.0,68070000.0,8.7,8199999.999999999,NO,Cloud native,83.0,Tier 3,Elevated,Series B,339500.0,0.0
DeltaSignal Vest,WealthTech,"San Francisco, CA",2018,163.0,55317650.0,8.1,7965741.600000001,NO,Hybrid,64.0,Tier 2,Low,Series B,328151.0,0.0
SummitLedger Vest,WealthTech,"Seattle, WA",2015,272.0,52940000.0,7.8,4817540.0,NO,Cloud-Forward,59.0,Tier 2,Low,Series B,195782.0,0.0
PrimeAnchor Advisors,WealthTech,"San Francisco, CA",2004,152.0,48285604.0,15.2,6518556.54,AI Enabled,Cloud-Forward,85.0,Tier 2,Moderate,Series B,790266.0,1.0
GraniteGrid Vest,WealthTech,"New York, NY",2002,130.0,46100000.0,15.8,7329900.0,Production,Cloud forward,83.0,Tier 3,Elevated,Series B,792131.0,1.0
IronBridge Alpha,WealthTech,"Chicago, IL",2010,145.0,34040000.0,7.1,3320000.0,Legacy Only,Hybrid,55.0,Tier 3,Moderate,Series B,346200.0,0.0
PioneerStone Alpha,WealthTech,"San Francisco, CA",2011,166.0,31550000.0,8.0,4900000.0,Pilot,Cloud-Native,69.0,Tier 2,Low,Series B,2561641.0,1.0
CrestPath Wealth,WealthTech,"San Francisco, CA",2009,103.0,29810000.0,5.3,3310000.0,No,Cloud forward,71.0,Tier 3,Moderate,Series B,405029.0,0.0
HarborLedger Advisors,WealthTech,"Seattle, WA",2023,114.0,22942587.0,2.9,2100000.0,Not Yet,Legacy Core,54.0,Tier 2,Low,Series A,1491400.0,0.0
